name,position,season_points,appearances,starts,sub_appearances,starter_ppg_est,sub_ppg_est,overall_ppg,prior_start_rate,prior_appearance_rate
Rodrigo Bentancur,MID,86.0,25.0,22.0,3.0,3.772727,1.0,2.263158,0.578947,0.657895
Florentino Ibrain Morris Luís,MID,84.0,30.0,24.0,6.0,3.25,1.0,2.210526,0.631579,0.789474
Chemsdine Talbi,MID,83.0,28.0,16.0,12.0,4.4375,1.0,2.184211,0.421053,0.736842
Idrissa Gana Gueye,MID,83.0,25.0,25.0,0.0,3.32,0.0,2.184211,0.657895,0.657895
Jacob Murphy,MID,82.0,32.0,18.0,14.0,3.777778,1.0,2.157895,0.473684,0.842105
Omari Hutchinson,MID,82.0,30.0,16.0,14.0,4.25,1.0,2.157895,0.421053,0.789474
Curtis Jones,MID,81.0,33.0,17.0,16.0,3.823529,1.0,2.131579,0.447368,0.868421
Sandro Tonali,MID,81.0,35.0,31.0,4.0,2.483871,1.0,2.131579,0.815789,0.921053
Emile Smith Rowe,MID,80.0,36.0,21.0,15.0,3.095238,1.0,2.105263,0.552632,0.947368
Noah Sadiki,MID,80.0,32.0,32.0,0.0,2.5,0.0,2.105263,0.842105,0.842105
Xavi Simons,MID,80.0,28.0,19.0,9.0,3.736842,1.0,2.105263,0.5,0.736842
Jack Grealish,MID,79.0,20.0,18.0,2.0,4.277778,1.0,2.078947,0.473684,0.526316
Mathys Tel,MID,78.0,30.0,12.0,18.0,5.0,1.0,2.052632,0.315789,0.789474
Pascal Groß,MID,78.0,18.0,17.0,1.0,4.529412,1.0,2.052632,0.447368,0.473684
Tyler Adams,MID,77.0,24.0,20.0,4.0,3.65,1.0,2.026316,0.526316,0.631579
Yéremy Pino Santos,MID,77.0,33.0,26.0,7.0,2.692308,1.0,2.026316,0.684211,0.868421
Amadou Onana,MID,76.0,24.0,21.0,3.0,3.47619,1.0,2.0,0.552632,0.631579
Jordan Henderson,MID,76.0,31.0,21.0,10.0,3.142857,1.0,2.0,0.552632,0.815789
Mohammed Kudus,MID,75.0,19.0,19.0,0.0,3.947368,0.0,1.973684,0.5,0.5
Vitaly Janelt,MID,74.0,24.0,14.0,10.0,4.571429,1.0,1.947368,0.368421,0.631579
Martin Ødegaard,MID,74.0,24.0,16.0,8.0,4.125,1.0,1.947368,0.421053,0.631579
Joelinton Cássio Apolinário de Lira,MID,73.0,27.0,23.0,4.0,3.0,1.0,1.921053,0.605263,0.710526
Kobbie Mainoo,MID,73.0,27.0,15.0,12.0,4.066667,1.0,1.921053,0.394737,0.710526
Lewis Miley,MID,72.0,23.0,15.0,8.0,4.266667,1.0,1.894737,0.394737,0.605263
Noni Madueke,MID,72.0,25.0,15.0,10.0,4.133333,1.0,1.894737,0.394737,0.657895
Pape Matar Sarr,MID,71.0,25.0,13.0,12.0,4.538462,1.0,1.868421,0.342105,0.657895
Josh Cullen,MID,70.0,18.0,18.0,0.0,3.888889,0.0,1.842105,0.473684,0.473684
Lucas Tolentino Coelho de Lima,MID,69.0,18.0,18.0,0.0,3.833333,0.0,1.815789,0.473684,0.473684
Rodrigo 'Rodri' Hernandez Cascante,MID,69.0,21.0,17.0,4.0,3.823529,1.0,1.815789,0.447368,0.552632
Jefferson Lerma Solís,MID,69.0,30.0,17.0,13.0,3.294118,1.0,1.815789,0.447368,0.789474
Youri Tielemans,MID,68.0,24.0,21.0,3.0,3.095238,1.0,1.789474,0.552632,0.631579
Tim Iroegbunam,MID,68.0,28.0,16.0,12.0,3.5,1.0,1.789474,0.421053,0.736842
Saša Lukić,MID,67.0,26.0,20.0,6.0,3.05,1.0,1.763158,0.526316,0.684211
Daichi Kamada,MID,67.0,27.0,21.0,6.0,2.904762,1.0,1.763158,0.552632,0.710526
Mikel Merino Zazón,MID,67.0,21.0,10.0,11.0,5.6,1.0,1.763158,0.263158,0.552632
Tanaka Ao,MID,67.0,27.0,13.0,14.0,4.076923,1.0,1.763158,0.342105,0.710526
Amine Adli,MID,67.0,30.0,10.0,20.0,4.7,1.0,1.763158,0.263158,0.789474
Rayan Vitor Simplício Rocha,MID,67.0,14.0,12.0,2.0,5.416667,1.0,1.763158,0.315789,0.368421
Habib Diarra,MID,65.0,19.0,15.0,4.0,4.066667,1.0,1.710526,0.394737,0.5
Brennan Johnson,MID,65.0,34.0,19.0,15.0,2.631579,1.0,1.710526,0.5,0.894737
Josh King,MID,63.0,31.0,15.0,16.0,3.133333,1.0,1.657895,0.394737,0.815789
Nico González Iglesias,MID,63.0,24.0,16.0,8.0,3.4375,1.0,1.657895,0.421053,0.631579
Jacob Ramsey,MID,62.0,27.0,14.0,13.0,3.5,1.0,1.631579,0.368421,0.710526
Mitoma Kaoru,MID,62.0,25.0,19.0,6.0,2.947368,1.0,1.631579,0.5,0.657895
Samuel Chukwueze,MID,62.0,23.0,10.0,13.0,4.9,1.0,1.631579,0.263158,0.605263
Boubacar Kamara,MID,61.0,18.0,17.0,1.0,3.529412,1.0,1.605263,0.447368,0.473684
Archie Gray,MID,61.0,23.0,18.0,5.0,3.111111,1.0,1.605263,0.473684,0.605263
David Brooks,MID,59.0,31.0,13.0,18.0,3.153846,1.0,1.552632,0.342105,0.815789
Hannibal Mejbri,MID,59.0,26.0,14.0,12.0,3.357143,1.0,1.552632,0.368421,0.684211
Loum Tchaouna,MID,59.0,28.0,13.0,15.0,3.384615,1.0,1.552632,0.342105,0.736842
Estêvão Almeida de Oliveira Gonçalves,MID,58.0,22.0,12.0,10.0,4.0,1.0,1.526316,0.315789,0.578947
Mason Mount,MID,58.0,22.0,11.0,11.0,4.272727,1.0,1.526316,0.289474,0.578947
Gabriel Martinelli Silva,MID,57.0,29.0,10.0,19.0,3.8,1.0,1.5,0.263158,0.763158
Ross Barkley,MID,56.0,20.0,6.0,14.0,7.0,1.0,1.473684,0.157895,0.526316
Carlos Baleba,MID,56.0,30.0,23.0,7.0,2.130435,1.0,1.473684,0.605263,0.789474
Josh Laurent,MID,56.0,33.0,18.0,15.0,2.277778,1.0,1.473684,0.473684,0.868421
Omar Marmoush,MID,56.0,21.0,8.0,13.0,5.375,1.0,1.473684,0.210526,0.552632
Alejandro Garnacho Ferreyra,MID,56.0,24.0,14.0,10.0,3.285714,1.0,1.473684,0.368421,0.631579
Ilia Gruev,MID,56.0,23.0,15.0,8.0,3.2,1.0,1.473684,0.394737,0.605263
Sean Longstaff,MID,56.0,23.0,10.0,13.0,4.3,1.0,1.473684,0.263158,0.605263
Donyell Malen,MID,55.0,21.0,5.0,16.0,7.8,1.0,1.447368,0.131579,0.552632
Hwang Hee-chan,MID,54.0,25.0,17.0,8.0,2.705882,1.0,1.421053,0.447368,0.657895
Dwight McNeil,MID,53.0,22.0,14.0,8.0,3.214286,1.0,1.394737,0.368421,0.578947
Marcus Edwards,MID,51.0,22.0,11.0,11.0,3.636364,1.0,1.342105,0.289474,0.578947
Dan Ndoye,MID,50.0,24.0,14.0,10.0,2.857143,1.0,1.315789,0.368421,0.631579
Lucas Bergvall,MID,49.0,23.0,11.0,12.0,3.363636,1.0,1.289474,0.289474,0.605263
Kevin Santos Lopes de Macedo,MID,49.0,25.0,8.0,17.0,4.0,1.0,1.289474,0.210526,0.657895
Anthony Elanga,MID,48.0,31.0,14.0,17.0,2.214286,1.0,1.263158,0.368421,0.815789
Nicolás Domínguez,MID,48.0,26.0,17.0,9.0,2.294118,1.0,1.263158,0.447368,0.684211
Ryan Christie,MID,47.0,26.0,9.0,17.0,3.333333,1.0,1.236842,0.236842,0.684211
Andrey Nascimento dos Santos,MID,47.0,27.0,13.0,14.0,2.538462,1.0,1.236842,0.342105,0.710526
Wilson Odobert,MID,46.0,24.0,10.0,14.0,3.2,1.0,1.210526,0.263158,0.631579
Jhon Arias,MID,45.0,23.0,14.0,9.0,2.571429,1.0,1.184211,0.368421,0.605263
Will Hughes,MID,45.0,30.0,18.0,12.0,1.833333,1.0,1.184211,0.473684,0.789474
Evann Guessand,MID,44.0,20.0,9.0,11.0,3.666667,1.0,1.157895,0.236842,0.526316
Jean-Ricner Bellegarde,MID,44.0,26.0,15.0,11.0,2.2,1.0,1.157895,0.394737,0.684211
Conor Gallagher,MID,44.0,15.0,13.0,2.0,3.230769,1.0,1.157895,0.342105,0.394737
Rio Ngumoha,MID,43.0,18.0,4.0,14.0,7.25,1.0,1.131579,0.105263,0.473684
Sávio Moreira de Oliveira,MID,43.0,23.0,6.0,17.0,4.333333,1.0,1.131579,0.157895,0.605263
Oscar Bobb,MID,42.0,22.0,10.0,12.0,3.0,1.0,1.105263,0.263158,0.578947
Soungoutou Magassa,MID,42.0,22.0,11.0,11.0,2.818182,1.0,1.105263,0.289474,0.578947
Justin Kluivert,MID,41.0,19.0,10.0,9.0,3.2,1.0,1.078947,0.263158,0.5
Tom Cairney,MID,41.0,23.0,6.0,17.0,4.0,1.0,1.078947,0.157895,0.605263
Jacob Bruun Larsen,MID,41.0,27.0,10.0,17.0,2.4,1.0,1.078947,0.263158,0.710526
Lewis Cook,MID,40.0,17.0,8.0,9.0,3.875,1.0,1.052632,0.210526,0.447368
James Ward-Prowse,MID,40.0,17.0,12.0,5.0,2.916667,1.0,1.052632,0.315789,0.447368
Joe Willock,MID,38.0,23.0,9.0,14.0,2.666667,1.0,1.0,0.236842,0.605263
Marshall Munetsi,MID,38.0,13.0,9.0,4.0,3.777778,1.0,1.0,0.236842,0.342105
Manuel Ugarte Ribeiro,MID,38.0,22.0,8.0,14.0,3.0,1.0,1.0,0.210526,0.578947
Federico Chiesa,MID,37.0,26.0,1.0,25.0,12.0,1.0,0.973684,0.026316,0.684211
Freddie Potts,MID,37.0,22.0,12.0,10.0,2.25,1.0,0.973684,0.315789,0.578947
Jadon Sancho,MID,37.0,23.0,9.0,14.0,2.555556,1.0,0.973684,0.236842,0.605263
Chris Rigg,MID,36.0,17.0,11.0,6.0,2.727273,1.0,0.947368,0.289474,0.447368
Justin Devenny,MID,36.0,20.0,6.0,14.0,3.666667,1.0,0.947368,0.157895,0.526316
Merlin Röhl,MID,36.0,15.0,5.0,10.0,5.2,1.0,0.947368,0.131579,0.394737
Brajan Gruda,MID,35.0,18.0,8.0,10.0,3.125,1.0,0.921053,0.210526,0.473684
James Milner,MID,35.0,19.0,6.0,13.0,3.666667,1.0,0.921053,0.157895,0.5
Douglas Luiz Soares de Paulo,MID,35.0,20.0,11.0,9.0,2.363636,1.0,0.921053,0.289474,0.526316
Simon Adingra,MID,34.0,14.0,9.0,5.0,3.222222,1.0,0.894737,0.236842,0.368421
Wilfried Gnonto,MID,32.0,22.0,4.0,18.0,3.5,1.0,0.842105,0.105263,0.578947
Ryan Yates,MID,30.0,21.0,2.0,19.0,5.5,1.0,0.789474,0.052632,0.552632
Bertrand Traoré,MID,30.0,12.0,9.0,3.0,3.0,1.0,0.789474,0.236842,0.315789
Carlos Alcaraz Durán,MID,29.0,19.0,6.0,13.0,2.666667,1.0,0.763158,0.157895,0.5
Dilane Bakwa,MID,26.0,14.0,6.0,8.0,3.0,1.0,0.684211,0.157895,0.368421
Adama Traoré Diarra,MID,25.0,24.0,1.0,23.0,2.0,1.0,0.657895,0.026316,0.631579
Jamie Bynoe-Gittens,MID,25.0,16.0,5.0,11.0,2.8,1.0,0.657895,0.131579,0.421053
Daniel James,MID,23.0,18.0,6.0,12.0,1.833333,1.0,0.605263,0.157895,0.473684
Leon Bailey,MID,21.0,12.0,2.0,10.0,5.5,1.0,0.552632,0.052632,0.315789
Harrison Armstrong,MID,21.0,12.0,6.0,6.0,2.5,1.0,0.552632,0.157895,0.315789
Tyler Dibling,MID,18.0,14.0,4.0,10.0,2.0,1.0,0.473684,0.105263,0.368421
Yves Bissouma,MID,17.0,11.0,7.0,4.0,1.857143,1.0,0.447368,0.184211,0.289474
James McAtee,MID,17.0,13.0,2.0,11.0,3.0,1.0,0.447368,0.052632,0.342105
Matt O'Riley,MID,16.0,6.0,2.0,4.0,6.0,1.0,0.421053,0.052632,0.157895
Tyrique George,MID,16.0,14.0,1.0,13.0,3.0,1.0,0.421053,0.026316,0.368421
Max Dowman,MID,16.0,5.0,0.0,5.0,11.0,1.0,0.421053,0.0,0.131579
Angel Gomes,MID,16.0,11.0,6.0,5.0,1.833333,1.0,0.421053,0.157895,0.289474
Harrison Reed,MID,15.0,7.0,1.0,6.0,9.0,1.0,0.394737,0.026316,0.184211
Romaine Mundle,MID,14.0,14.0,2.0,12.0,1.0,1.0,0.368421,0.052632,0.368421
Fábio Freitas Gouveia Carvalho,MID,13.0,6.0,1.0,5.0,8.0,1.0,0.342105,0.026316,0.157895
Roméo Lavia,MID,13.0,12.0,4.0,8.0,1.25,1.0,0.342105,0.105263,0.315789
Reiss Nelson,MID,13.0,9.0,0.0,9.0,4.0,1.0,0.342105,0.0,0.236842
Nilson Angulo,MID,13.0,7.0,4.0,3.0,2.5,1.0,0.342105,0.105263,0.184211
Endo Wataru,MID,12.0,8.0,1.0,7.0,5.0,1.0,0.315789,0.026316,0.210526
Fer López González,MID,12.0,9.0,2.0,7.0,2.5,1.0,0.315789,0.052632,0.236842
Frank Onyeka,MID,12.0,6.0,0.0,6.0,6.0,1.0,0.315789,0.0,0.157895
Jack Harrison,MID,12.0,11.0,1.0,10.0,2.0,1.0,0.315789,0.026316,0.289474
Ben Gannon-Doak,MID,11.0,7.0,0.0,7.0,4.0,1.0,0.289474,0.0,0.184211
Andy Irving,MID,9.0,7.0,2.0,5.0,2.0,1.0,0.236842,0.052632,0.184211
Mateo Kovačić,MID,9.0,5.0,1.0,4.0,5.0,1.0,0.236842,0.026316,0.131579
Mohamadou Kanté,MID,9.0,10.0,0.0,10.0,0.0,1.0,0.236842,0.0,0.263158
Guido Rodríguez,MID,8.0,6.0,2.0,4.0,2.0,1.0,0.210526,0.052632,0.157895
Tom Edozie,MID,8.0,3.0,0.0,3.0,5.0,1.0,0.210526,0.0,0.078947
Ethan Nwaneri,MID,8.0,6.0,0.0,6.0,2.0,1.0,0.210526,0.0,0.157895
Alex Tóth,MID,8.0,8.0,1.0,7.0,1.0,1.0,0.210526,0.026316,0.210526
Christian Nørgaard,MID,7.0,6.0,0.0,6.0,1.0,1.0,0.184211,0.0,0.157895
Trey Nyoni,MID,6.0,5.0,0.0,5.0,1.0,1.0,0.157895,0.0,0.131579
Mike Trésor Ndayishimiye,MID,6.0,6.0,0.0,6.0,0.0,1.0,0.157895,0.0,0.157895
Harvey Elliott,MID,5.0,5.0,1.0,4.0,1.0,1.0,0.131579,0.026316,0.131579
Tom Watson,MID,5.0,6.0,0.0,6.0,0.0,1.0,0.131579,0.0,0.157895
Luis Guilherme Lira dos Santos,MID,5.0,5.0,1.0,4.0,1.0,1.0,0.131579,0.026316,0.131579
Hamed Traorè,MID,4.0,1.0,0.0,1.0,3.0,1.0,0.105263,0.0,0.026316
Solly March,MID,4.0,3.0,0.0,3.0,1.0,1.0,0.105263,0.0,0.078947
Romelle Donovan,MID,4.0,4.0,0.0,4.0,0.0,1.0,0.105263,0.0,0.105263
Romain Esse,MID,4.0,4.0,0.0,4.0,0.0,1.0,0.105263,0.0,0.105263
Harry Howell,MID,4.0,3.0,1.0,2.0,2.0,1.0,0.105263,0.026316,0.078947
Facundo Buonanotte,MID,3.0,3.0,1.0,2.0,1.0,1.0,0.078947,0.026316,0.078947
Dan Neil,MID,3.0,3.0,0.0,3.0,0.0,1.0,0.078947,0.0,0.078947
James Maddison,MID,3.0,2.0,0.0,2.0,1.0,1.0,0.078947,0.0,0.052632
Jack Fletcher,MID,3.0,3.0,0.0,3.0,0.0,1.0,0.078947,0.0,0.078947
Shea Lacey,MID,3.0,2.0,0.0,2.0,1.0,1.0,0.078947,0.0,0.052632
Alysson Edward Franco da Rocha dos Santos,MID,3.0,3.0,0.0,3.0,0.0,1.0,0.078947,0.0,0.078947
Tawanda Chirewa,MID,2.0,2.0,0.0,2.0,0.0,1.0,0.052632,0.0,0.052632
Divine Mukasa,MID,2.0,2.0,0.0,2.0,0.0,1.0,0.052632,0.0,0.052632
Josh Dasilva,MID,2.0,2.0,0.0,2.0,0.0,1.0,0.052632,0.0,0.052632
George Hemmings,MID,2.0,2.0,0.0,2.0,0.0,1.0,0.052632,0.0,0.052632
Joél Drakes-Thomas,MID,2.0,2.0,0.0,2.0,0.0,1.0,0.052632,0.0,0.052632
Tyler Fletcher,MID,2.0,1.0,0.0,1.0,1.0,1.0,0.052632,0.0,0.026316
Ben Winterburn,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Jamaldeen Jimoh-Aloba,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Joe Knight,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
George Earthy,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Patrick Roberts,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Callum Olusesi,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Jaydon Banel,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Antoni Milambo,MID,1.0,1.0,1.0,0.0,1.0,0.0,0.026316,0.026316,0.026316
João Pedro Ferreira da Silva,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Myles Peart-Harris,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Dário Luís Essugo,MID,1.0,3.0,0.0,3.0,0.0,1.0,0.026316,0.0,0.078947
Kaden Rodney,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Bradley Burrowes,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Nehemiah Oriola,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Bendito Mantato,MID,1.0,1.0,0.0,1.0,0.0,1.0,0.026316,0.0,0.026316
Djiamgone Jocelin Ta Bi,MID,1.0,1.0,1.0,0.0,1.0,0.0,0.026316,0.026316,0.026316
Jesse Derry,MID,1.0,1.0,1.0,0.0,1.0,0.0,0.026316,0.026316,0.026316
