name,position,season_points,appearances,starts,sub_appearances,starter_ppg_est,sub_ppg_est,overall_ppg,prior_start_rate,prior_appearance_rate
Mateus Mané,FWD,74.0,26.0,18.0,8.0,3.666667,1.0,1.947368,0.473684,0.684211
Lukas Nmecha,FWD,73.0,30.0,9.0,21.0,5.777778,1.0,1.921053,0.236842,0.789474
Tolu Arokodare,FWD,66.0,32.0,13.0,19.0,3.615385,1.0,1.736842,0.342105,0.842105
Valentín Castellanos,FWD,61.0,17.0,16.0,1.0,3.75,1.0,1.605263,0.421053,0.447368
Lyle Foster,FWD,58.0,26.0,15.0,11.0,3.133333,1.0,1.526316,0.394737,0.684211
Randal Kolo Muani,FWD,52.0,29.0,21.0,8.0,2.095238,1.0,1.368421,0.552632,0.763158
Liam Delap,FWD,45.0,27.0,12.0,15.0,2.5,1.0,1.184211,0.315789,0.710526
Armando Broja,FWD,43.0,24.0,8.0,16.0,3.375,1.0,1.131579,0.210526,0.631579
Taiwo Awoniyi,FWD,43.0,16.0,3.0,13.0,10.0,1.0,1.131579,0.078947,0.421053
Joshua Zirkzee,FWD,42.0,23.0,5.0,18.0,4.8,1.0,1.105263,0.131579,0.605263
Alexander Isak,FWD,41.0,14.0,8.0,6.0,4.375,1.0,1.078947,0.210526,0.368421
Chris Wood,FWD,41.0,14.0,10.0,4.0,3.7,1.0,1.078947,0.263158,0.368421
Eliezer Mayenda Dossou,FWD,40.0,20.0,8.0,12.0,3.5,1.0,1.052632,0.210526,0.526316
Dominic Solanke-Mitchell,FWD,40.0,15.0,11.0,4.0,3.272727,1.0,1.052632,0.289474,0.394737
Adam Armstrong,FWD,39.0,13.0,13.0,0.0,3.0,0.0,1.026316,0.342105,0.342105
Rodrigo Muniz Carvalho,FWD,36.0,20.0,9.0,11.0,2.777778,1.0,0.947368,0.236842,0.526316
Kai Havertz,FWD,36.0,11.0,7.0,4.0,4.571429,1.0,0.947368,0.184211,0.289474
Charalampos Kostoulas,FWD,35.0,20.0,2.0,18.0,8.5,1.0,0.921053,0.052632,0.526316
