name,position,club,minutes,appearances,starts,goals,assists,clean_sheets,rating,form,xg,xa,yellow_cards,red_cards,bonus,bps,ict_index,chance_playing,fixture_difficulty,home,selected_by_percent,team_form_points,team_attack_form,team_defence_form,opponent_strength,rest_days,price,future_points,GW,kickoff_time
Amadou Onana,MID,Aston Villa,165.0,2.0,2.0,1.0,0.0,0.0,6.242424242424242,5.5,0.66,0.02,1.0,0.0,3.0,40.0,4.75,1.0,3.0,0.0,80.95296274342188,1.5,1.35,1.35,0.5,7.0,5.0,9,3,2024-08-31T14:00:00Z
Andrew Moran,MID,Brighton,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,38.65504602671633,1.5,1.35,1.35,0.5,7.0,5.0,0,3,2024-08-31T11:30:00Z
Andrew Robertson,DEF,Liverpool,168.0,2.0,2.0,0.0,0.0,2.0,6.315476190476191,6.0,0.3,0.32,0.0,0.0,0.0,53.0,7.699999999999999,1.0,3.0,0.0,82.75030576699899,1.5,1.35,1.35,0.5,7.0,6.0,6,3,2024-09-01T15:00:00Z
Andrey Nascimento dos Santos,MID,Chelsea,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,39.5579009555487,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-09-01T12:30:00Z
André Onana,GK,Man Utd,180.0,2.0,2.0,0.0,0.0,1.0,6.216666666666667,3.5,0.0,0.0,0.0,0.0,0.0,39.0,2.1,1.0,3.0,1.0,82.83427441658922,1.5,1.35,1.35,0.5,7.0,5.0,1,3,2024-09-01T15:00:00Z
Anthony Elanga,MID,Nott'm Forest,143.0,2.0,2.0,0.0,0.0,1.0,6.1678321678321675,2.0,0.24,0.4,0.0,0.0,0.0,24.0,6.6,1.0,3.0,1.0,74.83147480740367,1.5,1.35,1.35,0.5,7.0,5.4,2,3,2024-08-31T14:00:00Z
Antoine Semenyo,MID,Bournemouth,180.0,2.0,2.0,1.0,1.0,0.0,6.25,6.5,0.71,1.27,0.0,0.0,1.0,45.0,9.850000000000001,1.0,3.0,0.0,79.52254286935691,1.5,1.35,1.35,0.5,7.0,5.5,6,3,2024-08-31T14:00:00Z
Antony Matheus dos Santos,MID,Man Utd,1.0,2.0,0.0,0.0,0.0,0.0,6.033333333333333,0.5,0.0,0.05,0.0,0.0,0.0,3.0,0.75,0.6499999999999999,3.0,1.0,62.93330647712537,1.5,1.35,1.35,0.5,7.0,5.9,0,3,2024-09-01T15:00:00Z
Arijanet Muric,GK,Ipswich,90.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.2,0.6499999999999999,3.0,1.0,65.72894940143954,1.5,1.35,1.35,0.5,7.0,4.4,3,3,2024-08-31T14:00:00Z
Armel Bella-Kotchap,DEF,Southampton,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,65.07930363938111,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-08-31T14:00:00Z
Ashley Phillips,DEF,Spurs,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,66.85387989745465,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-09-01T12:30:00Z
Axel Disasi,DEF,Chelsea,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,65.64098462158424,1.5,1.35,1.35,0.5,7.0,4.4,0,3,2024-09-01T12:30:00Z
Axel Tuanzebe,DEF,Ipswich,161.0,2.0,2.0,0.0,0.0,0.0,6.0,0.5,0.07,0.0,0.0,0.0,0.0,-5.0,1.5499999999999998,1.0,3.0,1.0,74.15206029399033,1.5,1.35,1.35,0.5,7.0,4.0,2,3,2024-08-31T14:00:00Z
Bart Verbruggen,GK,Brighton,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,66.27463422061301,1.5,1.35,1.35,0.5,7.0,4.5,4,3,2024-08-31T11:30:00Z
Ben Brereton Díaz,MID,Southampton,160.0,2.0,2.0,0.0,0.0,0.0,6.0625,1.5,0.3,0.08,1.0,0.0,0.0,10.0,3.6999999999999997,1.0,3.0,0.0,69.16110300642602,1.5,1.35,1.35,0.5,7.0,5.5,2,3,2024-08-31T14:00:00Z
Ben Chilwell,DEF,Chelsea,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,69.82472861740919,1.5,1.35,1.35,0.5,7.0,4.9,0,3,2024-09-01T12:30:00Z
Ben Doak,MID,Liverpool,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,53.96669367341293,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-09-01T15:00:00Z
Ben Mee,DEF,Brentford,1.0,2.0,0.0,0.0,0.0,0.0,6.033333333333333,0.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6499999999999999,3.0,1.0,70.40898157674876,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-08-31T14:00:00Z
Benjamin White,DEF,Arsenal,180.0,2.0,2.0,0.0,0.0,2.0,6.25,6.0,0.07,0.08,0.0,0.0,0.0,45.0,1.75,1.0,3.0,1.0,86.49416445037163,1.5,1.35,1.35,0.5,7.0,6.5,2,3,2024-08-31T11:30:00Z
Bernardo Veiga de Carvalho e Silva,MID,Man City,180.0,2.0,2.0,0.0,1.0,1.0,6.194444444444445,4.0,0.24,0.27,0.0,0.0,0.0,35.0,6.45,1.0,3.0,0.0,83.55608157206814,1.5,1.35,1.35,0.5,7.0,6.6,7,3,2024-08-31T16:30:00Z
Bernd Leno,GK,Fulham,180.0,2.0,2.0,0.0,0.0,0.0,6.144444444444445,3.0,0.0,0.0,0.0,0.0,0.0,26.0,2.7,1.0,3.0,0.0,79.46968276840647,1.5,1.35,1.35,0.5,7.0,5.0,3,3,2024-08-31T14:00:00Z
Bobby De Cordova-Reid,MID,Leicester,147.0,2.0,2.0,0.0,0.0,0.0,6.068027210884353,2.0,0.08,0.04,0.0,0.0,0.0,10.0,1.15,1.0,3.0,1.0,59.41279951035114,1.5,1.35,1.35,0.5,7.0,5.5,1,3,2024-08-31T14:00:00Z
Brajan Gruda,MID,Brighton,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,50.968123796405784,1.5,1.35,1.35,0.5,7.0,5.5,0,3,2024-08-31T11:30:00Z
Brandon Austin,GK,Spurs,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,67.78844112375499,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-09-01T12:30:00Z
Bryan Mbeumo,MID,Brentford,179.0,2.0,2.0,1.0,0.0,0.0,6.229050279329609,5.0,0.12,0.5700000000000001,1.0,0.0,2.0,41.0,6.9,1.0,3.0,1.0,83.56869861909577,1.5,1.35,1.35,0.5,7.0,7.0,14,3,2024-08-31T14:00:00Z
Bukayo Saka,MID,Arsenal,166.0,2.0,2.0,1.0,2.0,2.0,6.379518072289157,9.0,0.39999999999999997,0.47,1.0,0.0,2.0,63.0,14.299999999999999,1.0,3.0,1.0,94.4598413845376,1.5,1.35,1.35,0.5,7.0,10.1,6,3,2024-08-31T11:30:00Z
Caleb Okoli,DEF,Leicester,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,61.74654292766593,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-08-31T14:00:00Z
Callum Hudson-Odoi,MID,Nott'm Forest,161.0,2.0,2.0,0.0,0.0,2.0,6.229813664596273,3.0,0.11000000000000001,0.54,0.0,0.0,0.0,37.0,8.899999999999999,1.0,3.0,1.0,78.91787262257003,1.5,1.35,1.35,0.5,7.0,5.5,2,3,2024-08-31T14:00:00Z
Calvin Bassey,DEF,Fulham,180.0,2.0,2.0,0.0,0.0,0.0,6.0777777777777775,1.5,0.1,0.03,1.0,0.0,0.0,14.0,1.65,1.0,3.0,0.0,66.98542194820045,1.5,1.35,1.35,0.5,7.0,4.5,2,3,2024-08-31T14:00:00Z
Cameron Burgess,DEF,Ipswich,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,65.13774847832391,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-08-31T14:00:00Z
Cameron Humphreys,MID,Ipswich,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,51.84029332906429,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-08-31T14:00:00Z
Cameron Peupion,MID,Brighton,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,53.69510179902818,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-08-31T11:30:00Z
Caoimhin Kelleher,GK,Liverpool,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,63.883587352847414,1.5,1.35,1.35,0.5,7.0,4.4,0,3,2024-09-01T15:00:00Z
Carl Rushworth,GK,Brighton,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,57.695407838859246,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-08-31T11:30:00Z
Carlos Henrique Casimiro,MID,Man Utd,180.0,2.0,2.0,0.0,0.0,1.0,6.177777777777778,2.5,0.26,0.52,0.0,0.0,0.0,32.0,5.65,1.0,3.0,1.0,69.74747384628576,1.5,1.35,1.35,0.5,7.0,5.0,1,3,2024-09-01T15:00:00Z
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,63.989130541522464,1.5,1.35,1.35,0.5,7.0,4.4,0,3,2024-08-31T14:00:00Z
